animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
11,learner,84,DG-ACC,expert,10602,6,67,120,6,0.582,5,0.5213,-0.0529,-15,0.1179,0.5883,0.1135,0.3271,56.74,83.1
11,learner,84,DG-V1,naive,13286,6,67,120,6,0.0941,3,0.0199,-0.06,-1,0.426,0.6786,0.1923,0.3655,60.25,32.85
11,learner,84,DG-V1,intermediate,9865,6,67,120,6,0.0356,0,0.0,0.0315,20,0.0814,0.5233,0.267,0.3525,48.54,86.44
11,learner,84,DG-V1,expert,10602,6,67,120,6,0.0418,1,0.0266,-0.0241,-5,0.1184,0.5379,0.1698,0.3428,82.18,85.23
11,learner,84,DG-CA1,naive,13286,6,28,159,6,0.2771,5,0.1376,-0.0754,0,0.4262,0.4817,0.3233,0.4675,64.51,72.97
11,learner,84,DG-CA1,intermediate,9865,6,28,159,6,0.367,2,0.0766,0.0167,0,0.0815,0.3897,0.4699,0.5152,79.62,83.79
11,learner,84,DG-CA1,expert,10602,6,28,159,6,0.3864,4,0.3506,-0.1171,0,0.1218,0.372,0.4184,0.4508,32.3,32.81
13,learner,23,DMS-DLS,naive,18261,8,6,95,6,0.0419,2,0.0053,0.1055,21,0.5176,0.4049,0.4145,0.2664,86.6,85.63
13,learner,23,DMS-DLS,intermediate,20538,8,6,95,6,0.0736,1,0.0027,0.0001,-25,0.4995,0.6311,0.5456,0.471,83.74,66.75
13,learner,23,DMS-DLS,expert,18859,8,6,95,6,0.7531,1,0.4187,0.0936,0,0.6844,0.7337,0.5788,0.5432,0.1,23.18
13,learner,23,DMS-ACC,naive,18261,8,7,94,7,0.036,0,0.0,0.0233,18,0.5213,0.4207,0.3439,0.2716,76.24,58.91
13,learner,23,DMS-ACC,intermediate,20538,8,7,94,7,-0.0013,0,0.0,0.0531,19,0.5337,0.3883,0.4115,0.1187,74.02,74.24
13,learner,23,DMS-ACC,expert,18859,8,7,94,7,0.1809,1,0.0166,0.012,0,0.7226,0.2983,0.4708,0.3731,1.05,22.77
13,learner,23,DLS-ACC,naive,18261,6,7,96,6,0.0656,0,0.0,-0.0035,17,0.405,0.4176,0.632,0.6105,64.81,80.7
13,learner,23,DLS-ACC,intermediate,20538,6,7,96,6,0.0361,1,0.001,0.0045,0,0.631,0.2866,0.4249,0.3796,71.42,74.28
13,learner,23,DLS-ACC,expert,18859,6,7,96,6,0.0382,0,0.0,0.0257,10,0.7625,0.3326,0.4109,0.3311,73.01,61.67
13,learner,23,V1-DMS,naive,18261,64,8,37,8,-0.0392,0,0.0,0.0289,-14,0.6017,0.5213,0.3468,0.3393,76.31,80.02
13,learner,23,V1-DMS,intermediate,20538,64,8,37,8,0.0255,0,0.0,-0.0054,-8,0.6113,0.5339,0.2618,0.3192,69.96,83.66
13,learner,23,V1-DMS,expert,18859,64,8,37,8,0.0657,1,0.0022,0.0011,0,0.5542,0.6924,0.4648,0.4659,66.86,2.04
13,learner,23,V1-DLS,naive,18261,64,6,39,6,0.0154,0,0.0,0.1152,8,0.6032,0.4052,0.3701,0.188,81.32,61.08
13,learner,23,V1-DLS,intermediate,20538,64,6,39,6,0.0778,0,0.0,-0.054,0,0.6155,0.6312,0.3001,0.339,73.87,69.28
13,learner,23,V1-DLS,expert,18859,64,6,39,6,0.0703,0,0.0,-0.0673,-2,0.5659,0.7628,0.2978,0.2974,58.01,82.25
13,learner,23,V1-ACC,naive,18261,64,7,38,7,0.0535,0,0.0,0.0355,23,0.5832,0.4204,0.2921,0.206,80.24,48.01
13,learner,23,V1-ACC,intermediate,20538,64,7,38,7,0.0521,0,0.0,0.0172,17,0.5848,0.3884,0.2698,0.0942,60.73,18.38
13,learner,23,V1-ACC,expert,18859,64,7,38,7,0.0362,0,0.0,0.0575,5,0.5607,0.2997,0.2528,0.088,72.3,67.57
13,learner,23,CA1-DMS,naive,18261,24,8,77,8,0.0216,0,0.0,0.0087,-12,0.3709,0.5215,0.3433,0.3204,85.76,48.96
13,learner,23,CA1-DMS,intermediate,20538,24,8,77,8,0.0612,0,0.0,-0.0116,22,0.349,0.5336,0.411,0.3778,72.69,20.87
13,learner,23,CA1-DMS,expert,18859,24,8,77,8,0.1037,1,0.0054,0.0322,0,0.3113,0.7132,0.3414,0.289,37.32,1.68
13,learner,23,CA1-DLS,naive,18261,24,6,79,6,-0.0037,0,0.0,0.0377,20,0.3508,0.405,0.3317,0.1651,80.92,87.35
13,learner,23,CA1-DLS,intermediate,20538,24,6,79,6,0.0429,0,0.0,-0.0406,-1,0.354,0.631,0.3278,0.3514,65.16,15.81
13,learner,23,CA1-DLS,expert,18859,24,6,79,6,0.0361,0,0.0,-0.0304,0,0.3602,0.7624,0.2925,0.1412,89.66,15.01
13,learner,23,CA1-ACC,naive,18261,24,7,78,7,0.0447,0,0.0,0.0358,23,0.4074,0.4206,0.3471,0.2124,40.97,50.14
13,learner,23,CA1-ACC,intermediate,20538,24,7,78,7,0.0398,0,0.0,0.0359,-8,0.3323,0.3883,0.3021,0.1657,67.64,46.67
13,learner,23,CA1-ACC,expert,18859,24,7,78,7,0.0629,0,0.0,-0.0063,-4,0.308,0.3,0.2999,0.2069,40.82,54.02
13,learner,23,CA1-V1,naive,18261,24,64,21,20,0.1877,2,0.0223,0.0497,1,0.3383,0.5825,0.2869,0.295,34.79,34.0
