group,condition,epoch,animal,decoding_error,norm_entropy
Task (Spatial),No-ACC,Expert,14,0.319233463469578,0.116469522870232
Task (Spatial),No-V1,Naive,1,0.292461955246104,0.0839286759187806
Task (Spatial),No-V1,Naive,2,0.371465082493789,0.055554336444883
Task (Spatial),No-V1,Naive,3,0.313798078968914,0.117815496084768
Task (Spatial),No-V1,Naive,4,0.329668640430249,0.0522762025730455
Task (Spatial),No-V1,Naive,5,0.211908522526543,0.0240809037777343
Task (Spatial),No-V1,Naive,6,0.340200131170797,0.581984574941254
Task (Spatial),No-V1,Naive,7,0.261929307220812,0.0856054241514807
Task (Spatial),No-V1,Naive,8,0.312112573949424,0.176687260906074
Task (Spatial),No-V1,Naive,9,0.282920955109685,0.0812815999876805
Task (Spatial),No-V1,Naive,10,0.38122475371754,0.058295320453193
Task (Spatial),No-V1,Naive,11,0.36546047782234,0.0758145428049359
Task (Spatial),No-V1,Naive,13,0.438492145914518,0.182739193562482
Task (Spatial),No-V1,Naive,14,0.328492050302766,0.108039826312948
Task (Spatial),No-V1,Naive,15,0.331081880817468,0.15429401761776
Task (Spatial),No-V1,Intermediate,1,0.236579488965767,0.0698646350076034
Task (Spatial),No-V1,Intermediate,2,0.264106725343393,0.0560811305888632
Task (Spatial),No-V1,Intermediate,3,0.306496180916479,0.255417217709339
Task (Spatial),No-V1,Intermediate,4,0.278242953413021,0.052192300080151
Task (Spatial),No-V1,Intermediate,5,0.147345689100686,0.0227671993786569
Task (Spatial),No-V1,Intermediate,6,0.366074339626212,0.596843986472926
Task (Spatial),No-V1,Intermediate,7,0.217744679991787,0.0990063445327769
Task (Spatial),No-V1,Intermediate,8,0.314600494515697,0.185723973653389
Task (Spatial),No-V1,Intermediate,9,0.237591254101012,0.125808072108194
Task (Spatial),No-V1,Intermediate,10,0.391536190967824,0.0683470991646747
Task (Spatial),No-V1,Intermediate,11,0.276225287628889,0.0799727445337367
Task (Spatial),No-V1,Intermediate,13,0.451080579445458,0.254943462045036
Task (Spatial),No-V1,Intermediate,14,0.295283757895213,0.135521810014623
Task (Spatial),No-V1,Intermediate,15,0.31344405928168,0.136976867651467
Task (Spatial),No-V1,Expert,1,0.20025094890942,0.0736832085069364
Task (Spatial),No-V1,Expert,2,0.228131182335478,0.0598186104755438
Task (Spatial),No-V1,Expert,3,0.362370086825586,0.19368803437858
Task (Spatial),No-V1,Expert,4,0.265645580308154,0.0533680455641018
Task (Spatial),No-V1,Expert,5,0.217511440669621,0.022892912971795
Task (Spatial),No-V1,Expert,6,0.373274178378645,0.588725227096758
Task (Spatial),No-V1,Expert,7,0.140302400820566,0.104508522874923
Task (Spatial),No-V1,Expert,8,0.280375504576992,0.193344335572636
Task (Spatial),No-V1,Expert,9,0.235352804116957,0.149181302102089
Task (Spatial),No-V1,Expert,10,0.39504749282861,0.0790659021489655
Task (Spatial),No-V1,Expert,11,0.255069985304121,0.0866803681117309
Task (Spatial),No-V1,Expert,13,0.38882998428203,0.196034177369349
Task (Spatial),No-V1,Expert,14,0.323591119503718,0.0970955742509885
Task (Spatial),No-CA1,Naive,1,0.292461955246104,0.0839286759187806
